station_name,district,line_main,line_sub
七張,新店區,松山新店線,
三和國中,三重區,中和新蘆線,
三民高中,蘆洲區,中和新蘆線,
三重,三重區,中和新蘆線,
三重國小,三重區,中和新蘆線,
中原,中和區,環狀線,
中和,中和區,環狀線,
中山,中山區,淡水信義線,松山新店線
中山國中,中山區,文湖線,
中山國小,中山區,中和新蘆線,
中正紀念堂,中正區,淡水信義線,松山新店線
丹鳳,新莊區,中和新蘆線,
亞東醫院,板橋區,板南線,
信義安和,信義區,淡水信義線,
先嗇宮,三重區,中和新蘆線,
內湖,內湖區,文湖線,
公館,中正區,松山新店線,
六張犁,大安區,文湖線,
劍南路,中山區,文湖線,
劍潭,士林區,淡水信義線,
動物園,文山區,文湖線,
北投,北投區,淡水信義線,
北門,大同區,松山新店線,
十四張,新店區,環狀線,
南京三民,松山區,松山新店線,
南京復興,松山區,松山新店線,文湖線
南京復興,松山區,文湖線,松山新店線
南勢角,中和區,中和新蘆線,
南港,南港區,板南線,
南港展覽館,南港區,板南線,文湖線
南港展覽館,南港區,文湖線,板南線
南港軟體園區,南港區,文湖線,
古亭,中正區,松山新店線,中和新蘆線
古亭,中正區,中和新蘆線,
台北101/世貿,信義區,淡水信義線,
台北小巨蛋,松山區,松山新店線,
台北橋,三重區,中和新蘆線,
台北車站,中正區,淡水信義線,板南線
台大醫院,中正區,淡水信義線,
台電大樓,大安區,松山新店線,
唭哩岸,北投區,淡水信義線,
善導寺,中正區,板南線,
國父紀念館,信義區,板南線,
圓山,大同區,淡水信義線,
土城,土城區,板南線,
士林,士林區,淡水信義線,
大坪林,新店區,松山新店線,環狀線
大安,大安區,淡水信義線,文湖線
大安,大安區,文湖線,淡水信義線
大安森林公園,大安區,淡水信義線,
大橋頭站,大同區,中和新蘆線,
大湖公園,內湖區,文湖線,
大直,中山區,文湖線,
奇岩,北投區,淡水信義線,
小南門,中正區,小南門線,
小碧潭,新店區,小碧潭支線,
市政府,信義區,板南線,
幸福,新莊區,環狀線,
府中,板橋區,板南線,
後山埤,南港區,板南線,
徐匯中學,蘆洲區,中和新蘆線,
復興崗,北投區,淡水信義線,
忠孝復興,大安區,板南線,文湖線
忠孝復興,大安區,文湖線,板南線
忠孝敦化,大安區,板南線,
忠孝新生,中正區,松山新店線,板南線
忠孝新生,中正區,板南線,
忠義,北投區,淡水信義線,
文德,內湖區,文湖線,
新北投,北投區,新北投支線,
新北產業園區,新莊區,環狀線,
新埔,板橋區,板南線,
新埔民生,板橋區,環狀線,
新店,新店區,松山新店線,
新店區公所,新店區,松山新店線,
新莊,新莊區,中和新蘆線,
昆陽,南港區,板南線,
明德,士林區,淡水信義線,
景安,中和區,中和新蘆線,環狀線
景平,中和區,環狀線,
景美,文山區,松山新店線,
木柵,文山區,文湖線,
東湖,內湖區,文湖線,
東門,大安區,淡水信義線,中和新蘆線
東門,大安區,中和新蘆線,
松山,松山區,松山新店線,
松山機場,松山區,文湖線,
松江南京,中山區,中和新蘆線,
板新,板橋區,環狀線,
板橋,板橋區,板南線,
橋和,中和區,環狀線,
民權西路,中山區,淡水信義線,中和新蘆線
民權西路,大同區,中和新蘆線,
永安市場,中和區,中和新蘆線,
永寧,土城區,板南線,
永春,信義區,板南線,
江子翠,板橋區,板南線,
海山,土城區,板南線,
淡水,淡水區,淡水信義線,
港墘,內湖區,文湖線,
石牌,北投區,淡水信義線,
秀朗橋,中和區,環狀線,
科技大樓,大安區,文湖線,
竹圍,淡水區,淡水信義線,
紅樹林,淡水區,淡水信義線,
芝山,士林區,淡水信義線,
菜寮,三重區,中和新蘆線,
萬芳社區,文山區,文湖線,
萬芳醫院,文山區,文湖線,
萬隆,文山區,松山新店線,
葫洲,內湖區,文湖線,
蘆洲,蘆洲區,中和新蘆線,
行天宮,中山區,中和新蘆線,
西湖,內湖區,文湖線,
西門,萬華區,板南線,
象山,信義區,淡水信義線,
輔大,新莊區,中和新蘆線,
辛亥,大安區,文湖線,
迴龍,新莊區,中和新蘆線,
關渡,北投區,淡水信義線,
雙連,中山區,淡水信義線,
頂埔,土城區,板南線,
頂溪,永和區,中和新蘆線,
頭前庄,新莊區,中和新蘆線,環狀線
麟光,大安區,文湖線,
龍山寺,萬華區,板南線,